Id,Label,modularity_class,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
CHAKA KHAN,CHAKA KHAN,10,9,9,18,6,0.335626,0.344286,7.333888,0.005403
"CHEEVER, JOHN","CHEEVER, JOHN",4,26,14,40,6,0.363642,0.378789,169.572731,0.059327
JILL,JILL,8,4,28,32,6,0.368164,0.385243,51.128744,0.009334
"BANCROFT, MARTINE","BANCROFT, MARTINE",7,12,17,29,6,0.38045,0.398423,3434.358318,0.015862
"ROBERTSON, AMANDA","ROBERTSON, AMANDA",7,49,59,108,6,0.387878,0.409064,565.081196,0.043088
"BANKS, SHARON","BANKS, SHARON",7,23,25,48,6,0.380878,0.399432,132.250584,0.019399
"LOBO, EDUARDO","LOBO, EDUARDO",7,33,37,70,6,0.365319,0.382311,86.934962,0.030477
"TORK, SGT.","TORK, SGT.",6,34,49,83,6,0.39509,0.416205,2629.644374,0.049592
REDEEMER/CRAIG SAUND,REDEEMER/CRAIG SAUND,6,24,27,51,5,0.399672,0.419591,513.449865,0.044354
LEECH,LEECH,4,163,138,301,6,0.404041,0.430245,26134.265675,0.198495
STINGER III/,STINGER III/,4,29,26,55,6,0.370265,0.387667,86.583604,0.046223
TOWER,TOWER,4,23,36,59,6,0.372663,0.391001,134.059185,0.039376
TIMESHADOW,TIMESHADOW,4,14,15,29,6,0.354985,0.368771,2.041621,0.022636
SCALPHUNTER,SCALPHUNTER,4,72,63,135,6,0.38344,0.404299,556.301754,0.101703
O'DONNELL,O'DONNELL,4,20,12,32,6,0.350799,0.363524,196.928211,0.028853
CYBELE [ETERNAL],CYBELE [ETERNAL],14,39,23,62,6,0.353791,0.367388,358.082771,0.054988
DREAMING CELESTIAL/T,DREAMING CELESTIAL/T,14,29,18,47,6,0.361101,0.375862,336.762196,0.037555
KHORYPHOS [ETERNAL],KHORYPHOS [ETERNAL],14,42,46,88,5,0.387952,0.408408,1817.169374,0.041265
CATAPHRAX,CATAPHRAX,14,19,24,43,5,0.376551,0.3946,327.175674,0.01577
YRDISIS,YRDISIS,14,24,45,69,6,0.37767,0.397071,1350.618701,0.031759
"CHATTERTON, DAVE","CHATTERTON, DAVE",14,20,21,41,6,0.346141,0.358419,110.950259,0.023195
KINGO SUNEN [ETERNAL,KINGO SUNEN [ETERNAL,14,44,36,80,6,0.363403,0.380188,2348.168483,0.059552
"HOLDEN, DR. SAMUEL","HOLDEN, DR. SAMUEL",14,31,31,62,6,0.36213,0.378313,406.760468,0.01776
AHQLAU,AHQLAU,14,18,18,36,6,0.33286,0.342816,1.645431,0.01217
TEFRAL,TEFRAL,14,72,48,120,5,0.406086,0.427073,2800.807264,0.122514
PHASTOS [ETERNAL],PHASTOS [ETERNAL],14,56,46,102,6,0.388372,0.408971,9516.441189,0.067273
"BLAIRE, CARTER","BLAIRE, CARTER",4,29,39,68,5,0.418112,0.438222,190.262692,0.084457
HUNCH,HUNCH,4,27,30,57,6,0.390061,0.409553,373.388317,0.079966
BEEFER,BEEFER,4,27,35,62,5,0.418514,0.438094,350.525879,0.06412
MARX,MARX,4,33,21,54,6,0.383368,0.402036,387.982264,0.089184
"STERLING, SID","STERLING, SID",4,1,0,1,0,0,0,0,0.001648
"CHURCH, LYNN","CHURCH, LYNN",7,15,17,32,6,0.383127,0.401653,540.758274,0.018426
CHAINSAW/,CHAINSAW/,7,14,18,32,6,0.350195,0.362729,236.257774,0.008002
"OLLSEN, BO","OLLSEN, BO",7,4,5,9,6,0.325645,0.332396,0,0.003263
